DATE,SALES,COST_OF_SALES,DAILY_GP_PERCENT
4/6/2016,402057.25290,426466.13220,-6.07099589000
4/7/2014,98087.55590,95423.27399,2.71622825700
4/7/2015,316365.49870,335025.07640,-5.89810765600
4/7/2016,281531.68560,304052.47700,-7.99938072800
4/8/2014,362106.53260,376645.75090,-4.01517702400
4/8/2015,77672.88278,80417.74644,-3.53387638200
4/8/2016,46291.37192,39783.36067,14.05879968600
4/9/2014,312311.95400,348177.12050,-11.48376360300
4/9/2015,340440.20550,366359.65860,-7.61351117800
4/9/2016,209026.01970,222163.72890,-6.28520277900
5/1/2014,179188.88450,183083.28500,-2.17334937400
5/1/2015,220443.63150,239988.02750,-8.86593813900
5/1/2016,215737.84280,234642.08570,-8.76259939100
5/10/2014,280055.11770,301279.65500,-7.57870003400
5/10/2015,294557.64640,336897.92240,-14.37419008400
5/10/2016,78861.59494,69675.42915,11.64846564000
5/11/2014,72756.86310,67872.77433,6.71289080100
5/11/2015,111874.55900,116637.03430,-4.25697794300
5/11/2016,202017.42200,189394.69370,6.24833649200
5/12/2014,77884.18161,77619.29489,0.34010336200
5/12/2015,378527.87260,410385.03700,-8.41606832800
5/2/2014,187155.86850,195078.60330,-4.23322809100
5/2/2015,46211.33246,46407.29912,-0.42406624000
5/2/2016,325749.00890,345287.81150,-5.99811574700
5/3/2014,256390.52220,267308.50710,-4.25834184800
5/3/2015,145975.83390,157578.00590,-7.94800871500
5/3/2016,152124.40790,153377.51200,-0.82373638600
5/4/2014,217110.50250,213540.73420,1.64421723400
5/4/2015,135578.20340,147335.92510,-8.67228020800
5/4/2016,81910.87262,79969.51055,2.37009081700
5/5/2014,110887.01330,109460.15320,1.28676935000
5/5/2015,239922.99820,251700.96640,-4.90906177700
5/5/2016,237946.63270,254527.41550,-6.96827797600
5/6/2014,184989.88870,192824.89010,-4.23536737900
5/6/2015,293461.08390,315937.86220,-7.65920237200
5/6/2016,205719.45320,218408.18210,-6.16797716600
5/7/2014,117562.26290,114395.62760,2.69358144500
5/7/2015,156873.04370,165968.62450,-5.79805209700
5/7/2016,219363.22010,237026.35050,-8.05200178600
5/8/2014,262349.59100,272809.29040,-3.98693184900
5/8/2015,75483.42255,78024.28468,-3.36611940000
5/8/2016,73453.14329,63386.49259,13.70486033600
5/9/2014,501279.00040,558766.69030,-11.46820230900
5/9/2015,364416.73160,392128.30130,-7.60436261500
5/9/2016,228177.31680,242589.58720,-6.31625904000
6/1/2014,306351.95090,313446.06810,-2.31567554200
6/1/2015,181534.18870,197328.94390,-8.70070553300
6/1/2016,98646.98270,91610.56000,7.13293251100
6/10/2014,375648.01750,404178.92110,-7.59511624500
6/10/2015,221618.32820,253291.06230,-14.29156801100
6/10/2016,70279.47439,61976.30579,11.81450014000
6/11/2014,86867.45808,84486.08609,2.74138560400
6/11/2015,214540.33310,223738.43270,-4.28735215800
6/11/2016,108459.00010,102250.16780,5.72458928700
6/12/2014,150370.11670,154998.83460,-3.07821660400
6/12/2015,195425.39110,210461.38620,-7.69398235100
6/2/2014,102314.70960,101977.99000,0.32910184800
6/2/2015,85730.41481,85765.70934,-0.04116920500
6/2/2016,371561.97640,393884.43300,-6.00773438000
6/3/2014,167803.65980,168135.69000,-0.19786827100
6/3/2015,269239.85260,291365.01760,-8.21764118000
6/3/2016,74132.78702,74332.27948,-0.26910152400
6/4/2014,119190.10000,116856.31460,1.95803628000
6/4/2015,182466.25520,198405.22910,-8.73529951200
6/4/2016,54821.90851,50800.00851,7.33630059500
6/5/2014,119385.57540,115693.10660,3.09289358300
6/5/2015,224994.19510,242259.85950,-7.67382660400
6/5/2016,340851.50590,364361.03290,-6.89729298300
6/6/2014,288118.30440,300213.55940,-4.19801686200
