DATE,SALES,QUANTITY_SOLD,DAILY_UNIT_PRICE
23/6/2014,138298.21020,4133,33.46194294701
23/6/2015,64956.46208,1546,42.01582282018
23/6/2016,143752.73680,4305,33.39204106852
23/7/2014,165742.17050,5106,32.46027624363
23/7/2015,66799.72373,1734,38.52348542676
23/7/2016,77171.70180,1835,42.05542332425
23/8/2014,453633.47400,13613,33.32354910747
23/8/2015,56974.86803,1467,38.83767418541
23/8/2016,43537.72816,1035,42.06543783575
23/9/2014,110118.15640,3143,35.03600267261
23/9/2015,125182.75720,3725,33.60610931544
23/9/2016,147503.57320,3657,40.33458386656
24/1/2014,116958.79980,3423,34.16850709904
24/1/2015,158722.10560,3855,41.17304944228
24/1/2016,149138.92150,4351,34.27692978626
24/10/2014,248974.65280,6781,36.71650977732
24/10/2015,253116.91320,6872,36.83307817229
24/10/2016,40131.57351,940,42.69316330851
24/11/2014,26870.32387,641,41.91938201248
24/11/2015,111021.37910,3160,35.13334781646
24/12/2014,486230.32020,11809,41.17455501736
24/12/2015,392228.13800,9540,41.11406058700
24/2/2014,133146.22220,4106,32.42723385290
24/2/2015,95474.35737,2530,37.73690014625
24/2/2016,81530.61238,2213,36.84166849526
24/3/2014,81378.21463,2323,35.03151727508
24/3/2015,125060.70790,3312,37.75987557367
24/3/2016,262459.50570,6588,39.83902636612
24/4/2014,98430.11411,2809,35.04098045924
24/4/2015,343587.00850,8892,38.64001445119
24/4/2016,186166.15080,5453,34.14013401797
24/5/2014,590642.82570,18356,32.17709880693
24/5/2015,169541.26590,4489,37.76815903319
24/5/2016,113112.86500,3224,35.08463554591
24/6/2014,36692.67986,1047,35.04553950334
24/6/2015,106613.43280,2822,37.77938795181
24/6/2016,389904.00860,11667,33.41938875461
24/7/2014,95618.24880,2729,35.03783393184
24/7/2015,125689.59280,3259,38.56692015956
24/7/2016,40881.35491,972,42.05900710905
24/8/2014,214392.40090,6424,33.37366141034
24/8/2015,59442.73112,1528,38.90231094241
24/8/2016,120407.41330,3549,33.92713815159
24/9/2014,209908.38310,6457,32.50865465386
24/9/2015,150036.80500,4492,33.40089158504
24/9/2016,151639.18380,3758,40.35103347525
25/1/2014,155272.82480,4544,34.17095616197
25/1/2015,78092.27692,1897,41.16619763838
25/1/2016,215171.03820,6278,34.27381940108
25/10/2014,302721.68330,8249,36.69798561038
25/10/2015,118618.45370,3218,36.86092408328
25/10/2016,70402.99193,1650,42.66847995758
25/11/2014,40530.64229,968,41.87049823347
25/11/2015,243161.25920,6924,35.11861051415
25/12/2014,137686.53210,3344,41.17420218301
25/12/2015,133728.98370,3256,41.07155519042
25/2/2014,224994.65620,6937,32.43399974052
25/2/2015,198431.62750,5253,37.77491481058
25/2/2016,160947.53260,4404,36.54576126249
25/3/2014,130227.01470,3822,34.07300227630
25/3/2015,253218.83120,6704,37.77130536993
